id,class
1,0
2,0
3,1
4,0
5,0
6,1
7,1
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,1
31,0
32,1
33,1
34,1
35,1
36,0
37,0
38,1
39,0
40,1
41,1
42,1
43,0
44,0
45,1
46,0
47,1
48,0
49,0
50,0
51,1
52,0
53,0
54,1
55,1
56,0
57,0
58,1
59,0
60,1
61,0
62,1
63,0
64,0
65,0
66,0
67,0
68,1
69,1
70,1
71,0
72,1
73,0
74,1
75,0
76,1
77,1
78,1
79,0
80,0
81,1
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,0
91,1
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,1
100,1
101,1
102,0
103,1
104,0
105,1
106,0
107,1
108,0
109,0
110,0
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,0
119,1
120,1
121,1
122,0
123,1
124,0
125,0
126,0
127,1
128,1
129,1
130,0
131,1
132,0
133,1
134,1
135,1
136,1
137,0
138,0
139,0
140,1
141,0
142,0
143,1
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,0
154,0
155,0
156,0
157,1
158,0
159,1
160,1
161,0
162,1
163,1
164,1
165,1
166,1
167,0
168,0
169,0
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,0
178,0
179,0
180,1
181,0
182,1
183,0
184,1
185,0
186,1
187,1
188,0
189,0
190,1
191,0
192,0
193,0
194,1
195,1
196,1
197,0
198,0
199,0
200,0
